id,time,distance,velocity,acceleration,Frictional Force,airResistance,,,,time,time,time,time,time,time,distance(0.05 Frictional Coefficient),distance(0.045 Frictional Coefficient),distance(0.04 Frictional Coefficient,distance(0.035 Fricitional Coefficient),distance(0.030 Frictional Coefficient),distance(0.025 Frictional Coefficient)
carFAR_05,0.013,3.78E-04,0.058142702,4.464824591,0.424785461,0.016670055,,,,0.013,0.013,0.013,0.013,0.013,0.013,3.78E-04,3.82E-04,3.85E-04,3.89E-04,3.93E-04,3.96E-04
carFAR_05,0.014,4.39E-04,0.062606246,4.463544484,0.424785461,0.017949795,,,,0.014,0.014,0.014,0.014,0.014,0.014,4.39E-04,4.43E-04,4.47E-04,4.51E-04,4.55E-04,4.59E-04
carFAR_05,0.015,5.03E-04,0.067068511,4.462264744,0.424785461,0.019229168,,,,0.015,0.015,0.015,0.015,0.015,0.015,5.03E-04,5.08E-04,5.13E-04,5.18E-04,5.22E-04,5.27E-04
carFAR_05,0.016,5.73E-04,0.071529496,4.460985371,0.424785461,0.020508174,,,,0.016,0.016,0.016,0.016,0.016,0.016,5.73E-04,5.78E-04,5.84E-04,5.89E-04,5.94E-04,6.00E-04
carFAR_05,0.017,6.46E-04,0.075989203,4.459706365,0.424785461,0.021786814,,,,0.017,0.017,0.017,0.017,0.017,0.017,6.46E-04,6.53E-04,6.59E-04,6.65E-04,6.71E-04,6.77E-04
carFAR_05,0.018,7.25E-04,0.08044763,4.458427726,0.424785461,0.023065087,,,,0.018,0.018,0.018,0.018,0.018,0.018,7.25E-04,7.32E-04,7.38E-04,7.45E-04,7.52E-04,7.59E-04
carFAR_05,0.019,8.07E-04,0.08490478,4.457149453,0.424785461,0.024342993,,,,0.019,0.019,0.019,0.019,0.019,0.019,8.07E-04,8.15E-04,8.23E-04,8.30E-04,8.38E-04,8.46E-04
carFAR_05,0.02,8.94E-04,0.089360651,4.455871546,0.424785461,0.025620533,,,,0.02,0.02,0.02,0.02,0.02,0.02,8.94E-04,9.03E-04,9.11E-04,9.20E-04,9.28E-04,9.37E-04
carFAR_05,0.021,9.86E-04,0.093815245,4.454594007,0.424785461,0.026897707,,,,0.021,0.021,0.021,0.021,0.021,0.021,9.86E-04,9.95E-04,0.001004745,0.001014094,0.001023443,0.001032792
carFAR_05,0.022,0.001082088,0.098268562,4.453316833,0.424785461,0.028174514,,,,0.022,0.022,0.022,0.022,0.022,0.022,0.001082088,0.001092348,0.001102608,0.001112867,0.001123127,0.001133387
carFAR_05,0.023,0.001182583,0.102720602,4.452040025,0.424785461,0.029450956,,,,0.023,0.023,0.023,0.023,0.023,0.023,0.001182583,0.001193795,0.001205008,0.00121622,0.001227433,0.001238645
carFAR_05,0.024,0.001287529,0.107171366,4.450763584,0.424785461,0.030727031,,,,0.024,0.024,0.024,0.024,0.024,0.024,0.001287529,0.001299736,0.001311944,0.001324152,0.001336359,0.001348567
carFAR_05,0.025,0.001396925,0.111620853,4.449487508,0.424785461,0.032002741,,,,0.025,0.025,0.025,0.025,0.025,0.025,0.001396925,0.00141017,0.001423415,0.001436659,0.001449904,0.001463149
carFAR_05,0.026,0.00151077,0.116069065,4.448211799,0.424785461,0.033278084,,,,0.026,0.026,0.026,0.026,0.026,0.026,0.00151077,0.001525094,0.001539418,0.001553742,0.001568067,0.001582391
carFAR_05,0.027,0.001629063,0.120516002,4.446936455,0.424785461,0.034553063,,,,0.027,0.027,0.027,0.027,0.027,0.027,0.001629063,0.001644508,0.001659954,0.0016754,0.001690845,0.001706291
carFAR_05,0.028,0.001751801,0.124961663,4.445661477,0.424785461,0.035827675,,,,0.028,0.028,0.028,0.028,0.028,0.028,0.001751801,0.001768411,0.00178502,0.00180163,0.001818239,0.001834849
carFAR_05,0.029,0.001878985,0.12940605,4.444386864,0.424785461,0.037101922,,,,0.029,0.029,0.029,0.029,0.029,0.029,0.001878985,0.001896801,0.001914616,0.001932431,0.001950247,0.001968062
carFAR_05,0.03,0.002010613,0.133849163,4.443112617,0.424785461,0.038375804,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.002010613,0.002029676,0.00204874,0.002067803,0.002086866,0.00210593
carFAR_05,0.031,0.002146683,0.138291001,4.441838735,0.424785461,0.039649321,,,,0.031,0.031,0.031,0.031,0.031,0.031,0.002146683,0.002167036,0.00218739,0.002207743,0.002228097,0.00224845
carFAR_05,0.032,0.002287194,0.142731567,4.440565218,0.424785461,0.040922472,,,,0.032,0.032,0.032,0.032,0.032,0.032,0.002287194,0.00230888,0.002330566,0.002352251,0.002373937,0.002395623
carFAR_05,0.033,0.002432145,0.147170859,4.439292067,0.424785461,0.042195259,,,,0.033,0.033,0.033,0.033,0.033,0.033,0.002432145,0.002455205,0.002478266,0.002501326,0.002524386,0.002547446
carFAR_05,0.034,0.002581535,0.151608878,4.43801928,0.424785461,0.043467681,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.002581535,0.002606012,0.002630488,0.002654965,0.002679441,0.002703918
carFAR_05,0.035,0.002735363,0.156045625,4.436746859,0.424785461,0.044739737,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.002735363,0.002761298,0.002787232,0.002813167,0.002839102,0.002865037
carFAR_05,0.036,0.002893626,0.1604811,4.435474802,0.424785461,0.046011429,,,,0.036,0.036,0.036,0.036,0.036,0.036,0.002893626,0.002921061,0.002948497,0.002975932,0.003003368,0.003030804
carFAR_05,0.037,0.003056324,0.164915303,4.43420311,0.424785461,0.047282757,,,,0.037,0.037,0.037,0.037,0.037,0.037,0.003056324,0.003085302,0.00311428,0.003143258,0.003172237,0.003201215
carFAR_05,0.038,0.003223456,0.169348234,4.432931783,0.424785461,0.04855372,,,,0.038,0.038,0.038,0.038,0.038,0.038,0.003223456,0.003254019,0.003284581,0.003315144,0.003345707,0.00337627
carFAR_05,0.039,0.00339502,0.173779895,4.43166082,0.424785461,0.049824318,,,,0.039,0.039,0.039,0.039,0.039,0.039,0.00339502,0.003427209,0.003459399,0.003491588,0.003523778,0.003555967
carFAR_05,0.04,0.003571015,0.178210286,4.430390221,0.424785461,0.051094552,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.003571015,0.003604873,0.003638731,0.003672589,0.003706447,0.003740305
carFAR_05,0.041,0.00375144,0.182639406,4.429119987,0.424785461,0.052364422,,,,0.041,0.041,0.041,0.041,0.041,0.041,0.00375144,0.003787009,0.003822577,0.003858146,0.003893715,0.003929284
carFAR_05,0.042,0.003936293,0.187067256,4.427850117,0.424785461,0.053633928,,,,0.042,0.042,0.042,0.042,0.042,0.042,0.003936293,0.003973615,0.004010936,0.004048257,0.004085579,0.0041229
carFAR_05,0.043,0.004125574,0.191493836,4.426580611,0.424785461,0.05490307,,,,0.043,0.043,0.043,0.043,0.043,0.043,0.004125574,0.00416469,0.004203806,0.004242922,0.004282038,0.004321154
carFAR_05,0.044,0.00431928,0.195919148,4.425311469,0.424785461,0.056171848,,,,0.044,0.044,0.044,0.044,0.044,0.044,0.00431928,0.004360233,0.004401186,0.004442138,0.004483091,0.004524044
carFAR_05,0.045,0.004517411,0.20034319,4.424042691,0.424785461,0.057440263,,,,0.045,0.045,0.045,0.045,0.045,0.045,0.004517411,0.004560243,0.004603074,0.004645905,0.004688736,0.004731568
carFAR_05,0.046,0.004719966,0.204765965,4.422774277,0.424785461,0.058708313,,,,0.046,0.046,0.046,0.046,0.046,0.046,0.004719966,0.004764718,0.004809469,0.004854221,0.004898973,0.004943725
carFAR_05,0.047,0.004926943,0.209187471,4.421506226,0.424785461,0.059976001,,,,0.047,0.047,0.047,0.047,0.047,0.047,0.004926943,0.004973657,0.005020371,0.005067085,0.005113799,0.005160513
carFAR_05,0.048,0.00513834,0.213607709,4.420238539,0.424785461,0.061243324,,,,0.048,0.048,0.048,0.048,0.048,0.048,0.00513834,0.005187059,0.005235777,0.005284496,0.005333214,0.005381933
carFAR_05,0.049,0.005354157,0.218026681,4.418971215,0.424785461,0.062510285,,,,0.049,0.049,0.049,0.049,0.049,0.049,0.005354157,0.005404922,0.005455687,0.005506452,0.005557216,0.005607981
carFAR_05,0.05,0.005574393,0.222444385,4.417704255,0.424785461,0.063776882,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.005574393,0.005627246,0.005680099,0.005732952,0.005785804,0.005838657
carFAR_05,0.051,0.005799046,0.226860823,4.416437658,0.424785461,0.065043115,,,,0.051,0.051,0.051,0.051,0.051,0.051,0.005799046,0.005854028,0.005909011,0.005963994,0.006018977,0.00607396
carFAR_05,0.052,0.006028114,0.231275994,4.415171424,0.424785461,0.066308986,,,,0.052,0.052,0.052,0.052,0.052,0.052,0.006028114,0.006085269,0.006142424,0.006199578,0.006256733,0.006313888
carFAR_05,0.053,0.006261597,0.2356899,4.413905553,0.424785461,0.067574494,,,,0.053,0.053,0.053,0.053,0.053,0.053,0.006261597,0.006320965,0.006380334,0.006439702,0.006499071,0.006558439
carFAR_05,0.054,0.006499493,0.24010254,4.412640045,0.424785461,0.068839639,,,,0.054,0.054,0.054,0.054,0.054,0.054,0.006499493,0.006561117,0.006622741,0.006684365,0.006745989,0.006807614
carFAR_05,0.055,0.006741801,0.244513914,4.4113749,0.424785461,0.070104422,,,,0.055,0.055,0.055,0.055,0.055,0.055,0.006741801,0.006805723,0.006869644,0.006933566,0.006997487,0.007061409
carFAR_05,0.056,0.00698852,0.248924025,4.410110118,0.424785461,0.071368841,,,,0.056,0.056,0.056,0.056,0.056,0.056,0.00698852,0.007054781,0.007121042,0.007187303,0.007253563,0.007319824
carFAR_05,0.057,0.007239649,0.25333287,4.408845698,0.424785461,0.072632899,,,,0.057,0.057,0.057,0.057,0.057,0.057,0.007239649,0.007308291,0.007376932,0.007445574,0.007514216,0.007582858
carFAR_05,0.058,0.007495186,0.257740452,4.407581641,0.424785461,0.073896593,,,,0.058,0.058,0.058,0.058,0.058,0.058,0.007495186,0.00756625,0.007637315,0.007708379,0.007779444,0.007850508
carFAR_05,0.059,0.007755129,0.26214677,4.406317946,0.424785461,0.075159926,,,,0.059,0.059,0.059,0.059,0.059,0.059,0.007755129,0.007828658,0.007902188,0.007975717,0.008049246,0.008122775
carFAR_05,0.06,0.008019478,0.266551824,4.405054613,0.424785461,0.076422896,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.008019478,0.008095514,0.00817155,0.008247585,0.008323621,0.008399656
carFAR_05,0.061,0.008288232,0.270955616,4.403791643,0.424785461,0.077685504,,,,0.061,0.061,0.061,0.061,0.061,0.061,0.008288232,0.008366816,0.0084454,0.008523983,0.008602567,0.008681151
carFAR_05,0.062,0.008561389,0.275358145,4.402529035,0.424785461,0.078947751,,,,0.062,0.062,0.062,0.062,0.062,0.062,0.008561389,0.008642563,0.008723736,0.00880491,0.008886084,0.008967257
carFAR_05,0.063,0.008838948,0.279759412,4.401266789,0.424785461,0.080209635,,,,0.063,0.063,0.063,0.063,0.063,0.063,0.008838948,0.008922753,0.009006558,0.009090364,0.009174169,0.009257974
carFAR_05,0.064,0.009120907,0.284159417,4.400004905,0.424785461,0.081471157,,,,0.064,0.064,0.064,0.064,0.064,0.064,0.009120907,0.009207386,0.009293864,0.009380343,0.009466822,0.0095533
carFAR_05,0.065,0.009407266,0.28855816,4.398743382,0.424785461,0.082732318,,,,0.065,0.065,0.065,0.065,0.065,0.065,0.009407266,0.00949646,0.009585653,0.009674847,0.009764041,0.009853235
carFAR_05,0.066,0.009698023,0.292955642,4.397482221,0.424785461,0.083993117,,,,0.066,0.066,0.066,0.066,0.066,0.066,0.009698023,0.009789973,0.009881924,0.009973874,0.010065825,0.010157775
carFAR_05,0.067,0.009993177,0.297351864,4.396221422,0.424785461,0.085253555,,,,0.067,0.067,0.067,0.067,0.067,0.067,0.009993177,0.010087926,0.010182675,0.010277423,0.010372172,0.010466921
carFAR_05,0.068,0.010292726,0.301746825,4.394960984,0.424785461,0.086513631,,,,0.068,0.068,0.068,0.068,0.068,0.068,0.010292726,0.010390315,0.010487904,0.010585493,0.010683082,0.010780671
carFAR_05,0.069,0.01059667,0.306140526,4.393700908,0.424785461,0.087773346,,,,0.069,0.069,0.069,0.069,0.069,0.069,0.01059667,0.010697141,0.010797611,0.010898082,0.010998553,0.011099024
carFAR_05,0.07,0.010905006,0.310532967,4.392441193,0.424785461,0.0890327,,,,0.07,0.07,0.07,0.07,0.07,0.07,0.010905006,0.011008401,0.011111795,0.011215189,0.011318584,0.011421978
carFAR_05,0.071,0.011217735,0.314924149,4.391181839,0.424785461,0.090291693,,,,0.071,0.071,0.071,0.071,0.071,0.071,0.011217735,0.011324094,0.011430454,0.011536813,0.011643173,0.011749532
carFAR_05,0.072,0.011534854,0.319314072,4.389922846,0.424785461,0.091550325,,,,0.072,0.072,0.072,0.072,0.072,0.072,0.011534854,0.01164422,0.011753586,0.011862953,0.011972319,0.012081685
carFAR_05,0.073,0.011856362,0.323702736,4.388664214,0.424785461,0.092808596,,,,0.073,0.073,0.073,0.073,0.073,0.073,0.011856362,0.011968777,0.012081191,0.012193606,0.01230602,0.012418435
carFAR_05,0.074,0.012182259,0.328090142,4.387405943,0.424785461,0.094066506,,,,0.074,0.074,0.074,0.074,0.074,0.074,0.012182259,0.012297763,0.012413268,0.012528772,0.012644277,0.012759781
carFAR_05,0.075,0.012512542,0.33247629,4.386148033,0.424785461,0.095324056,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.012512542,0.012631178,0.012749814,0.01286845,0.012987086,0.013105722
carFAR_05,0.076,0.012847211,0.33686118,4.384890484,0.424785461,0.096581245,,,,0.076,0.076,0.076,0.076,0.076,0.076,0.012847211,0.01296902,0.013090829,0.013212638,0.013334447,0.013456256
carFAR_05,0.077,0.013186264,0.341244814,4.383633295,0.424785461,0.097838073,,,,0.077,0.077,0.077,0.077,0.077,0.077,0.013186264,0.013311288,0.013436311,0.013561335,0.013686359,0.013811383
carFAR_05,0.078,0.0135297,0.34562719,4.382376466,0.424785461,0.099094542,,,,0.078,0.078,0.078,0.078,0.078,0.078,0.0135297,0.01365798,0.01378626,0.01391454,0.01404282,0.0141711
carFAR_05,0.079,0.013877518,0.35000831,4.381119998,0.424785461,0.10035065,,,,0.079,0.079,0.079,0.079,0.079,0.079,0.013877518,0.014009095,0.014140673,0.014272251,0.014403829,0.014535407
carFAR_05,0.08,0.014229716,0.354388174,4.37986389,0.424785461,0.101606398,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.014229716,0.014364633,0.01449955,0.014634467,0.014769384,0.014904301
carFAR_05,0.081,0.014586293,0.358766782,4.378608142,0.424785461,0.102861785,,,,0.081,0.081,0.081,0.081,0.081,0.081,0.014586293,0.014724591,0.014862889,0.015001187,0.015139485,0.015277783
carFAR_05,0.082,0.014947249,0.363144135,4.377352754,0.424785461,0.104116813,,,,0.082,0.082,0.082,0.082,0.082,0.082,0.014947249,0.015088969,0.015230689,0.01537241,0.01551413,0.01565585
carFAR_05,0.083,0.015312581,0.367520233,4.376097726,0.424785461,0.105371481,,,,0.083,0.083,0.083,0.083,0.083,0.083,0.015312581,0.015457765,0.015602949,0.015748133,0.015893318,0.016038502
carFAR_05,0.084,0.015682289,0.371895076,4.374843058,0.424785461,0.10662579,,,,0.084,0.084,0.084,0.084,0.084,0.084,0.015682289,0.015830978,0.015979668,0.016128357,0.016277047,0.016425736
carFAR_05,0.085,0.016056371,0.376268664,4.37358875,0.424785461,0.107879738,,,,0.085,0.085,0.085,0.085,0.085,0.085,0.016056371,0.016208607,0.016360843,0.016513079,0.016665316,0.016817552
carFAR_05,0.086,0.016434825,0.380640999,4.372334801,0.424785461,0.109133328,,,,0.086,0.086,0.086,0.086,0.086,0.086,0.016434825,0.01659065,0.016746474,0.016902299,0.017058124,0.017213948
carFAR_05,0.087,0.016817652,0.38501208,4.371081212,0.424785461,0.110386557,,,,0.087,0.087,0.087,0.087,0.087,0.087,0.016817652,0.016977106,0.01713656,0.017296015,0.017455469,0.017614923
carFAR_05,0.088,0.017204849,0.389381908,4.369827982,0.424785461,0.111639428,,,,0.088,0.088,0.088,0.088,0.088,0.088,0.017204849,0.017367974,0.0175311,0.017694225,0.017857351,0.018020476
carFAR_05,0.089,0.017596415,0.393750484,4.368575112,0.424785461,0.112891939,,,,0.089,0.089,0.089,0.089,0.089,0.089,0.017596415,0.017763253,0.017930091,0.018096929,0.018263767,0.018430605
carFAR_05,0.09,0.017992349,0.398117806,4.3673226,0.424785461,0.114144091,,,,0.09,0.09,0.09,0.09,0.09,0.09,0.017992349,0.018162941,0.018333533,0.018504125,0.018674717,0.018845309
carFAR_05,0.091,0.01839265,0.402483877,4.366070448,0.424785461,0.115395884,,,,0.091,0.091,0.091,0.091,0.091,0.091,0.01839265,0.018567037,0.018741425,0.018915812,0.0190902,0.019264587
carFAR_05,0.092,0.018797316,0.406848695,4.364818655,0.424785461,0.116647319,,,,0.092,0.092,0.092,0.092,0.092,0.092,0.018797316,0.018975541,0.019153765,0.019331989,0.019510213,0.019688437
carFAR_05,0.093,0.019206347,0.411212262,4.363567221,0.424785461,0.117898394,,,,0.093,0.093,0.093,0.093,0.093,0.093,0.019206347,0.019388449,0.019570552,0.019752654,0.019934756,0.020116859
carFAR_05,0.094,0.01961974,0.415574579,4.362316145,0.424785461,0.119149111,,,,0.094,0.094,0.094,0.094,0.094,0.094,0.01961974,0.019805762,0.019991784,0.020177806,0.020363828,0.02054985
carFAR_05,0.095,0.020037495,0.419935644,4.361065429,0.424785461,0.120399469,,,,0.095,0.095,0.095,0.095,0.095,0.095,0.020037495,0.020227478,0.020417461,0.020607444,0.020797427,0.020987409
carFAR_05,0.096,0.020459611,0.424295459,4.35981507,0.424785461,0.121649469,,,,0.096,0.096,0.096,0.096,0.096,0.096,0.020459611,0.020653596,0.020847581,0.021041566,0.021235551,0.021429536
carFAR_05,0.097,0.020886086,0.428654024,4.358565071,0.424785461,0.12289911,,,,0.097,0.097,0.097,0.097,0.097,0.097,0.020886086,0.021084114,0.021282143,0.021480171,0.0216782,0.021876229
carFAR_05,0.098,0.021316918,0.43301134,4.357315429,0.424785461,0.124148393,,,,0.098,0.098,0.098,0.098,0.098,0.098,0.021316918,0.021519032,0.021721145,0.021923259,0.022125372,0.022327486
carFAR_05,0.099,0.021752108,0.437367406,4.356066146,0.424785461,0.125397318,,,,0.099,0.099,0.099,0.099,0.099,0.099,0.021752108,0.021958347,0.022164587,0.022370827,0.022577066,0.022783306
carFAR_05,0.1,0.022191653,0.441722223,4.354817222,0.424785461,0.126645885,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.022191653,0.02240206,0.022612467,0.022822874,0.023033281,0.023243688
carFAR_05,0.101,0.022635552,0.446075792,4.353568655,0.424785461,0.127894093,,,,0.101,0.101,0.101,0.101,0.101,0.101,0.022635552,0.022850167,0.023064783,0.023279399,0.023494015,0.023708631
carFAR_05,0.102,0.023083803,0.450428112,4.352320446,0.424785461,0.129141944,,,,0.102,0.102,0.102,0.102,0.102,0.102,0.023083803,0.023302669,0.023521535,0.023740401,0.023959267,0.024178133
carFAR_05,0.103,0.023536407,0.454779185,4.351072595,0.424785461,0.130389437,,,,0.103,0.103,0.103,0.103,0.103,0.103,0.023536407,0.023759564,0.023982722,0.024205879,0.024429036,0.024652193
carFAR_05,0.104,0.023993361,0.45912901,4.349825102,0.424785461,0.131636573,,,,0.104,0.104,0.104,0.104,0.104,0.104,0.023993361,0.024220851,0.024448341,0.024675831,0.02490332,0.02513081
carFAR_05,0.105,0.024454665,0.463477588,4.348577967,0.424785461,0.132883351,,,,0.105,0.105,0.105,0.105,0.105,0.105,0.024454665,0.024686528,0.024918392,0.025150255,0.025382119,0.025613982
carFAR_05,0.106,0.024920316,0.467824919,4.347331189,0.424785461,0.134129771,,,,0.106,0.106,0.106,0.106,0.106,0.106,0.024920316,0.025156594,0.025392873,0.025629152,0.02586543,0.026101709
carFAR_05,0.107,0.025390314,0.472171004,4.346084768,0.424785461,0.135375834,,,,0.107,0.107,0.107,0.107,0.107,0.107,0.025390314,0.025631049,0.025871783,0.026112518,0.026353253,0.026593988
carFAR_05,0.108,0.025864657,0.476515842,4.344838705,0.424785461,0.13662154,,,,0.108,0.108,0.108,0.108,0.108,0.108,0.025864657,0.026109889,0.026355122,0.026600354,0.026845586,0.027090818
carFAR_05,0.109,0.026343345,0.480859435,4.343592999,0.424785461,0.137866889,,,,0.109,0.109,0.109,0.109,0.109,0.109,0.026343345,0.026593116,0.026842886,0.027092657,0.027342428,0.027592199
carFAR_05,0.11,0.026826375,0.485201783,4.342347651,0.424785461,0.13911188,,,,0.11,0.11,0.11,0.11,0.11,0.11,0.026826375,0.027080726,0.027335077,0.027589427,0.027843778,0.028098129
carFAR_05,0.111,0.027313748,0.489542886,4.341102659,0.424785461,0.140356515,,,,0.111,0.111,0.111,0.111,0.111,0.111,0.027313748,0.027572719,0.027831691,0.028090663,0.028349634,0.028608606
carFAR_05,0.112,0.027805461,0.493882744,4.339858024,0.424785461,0.141600793,,,,0.112,0.112,0.112,0.112,0.112,0.112,0.027805461,0.028069094,0.028332728,0.028596362,0.028859995,0.029123629
carFAR_05,0.113,0.028301513,0.498221357,4.338613747,0.424785461,0.142844714,,,,0.113,0.113,0.113,0.113,0.113,0.113,0.028301513,0.02856985,0.028838187,0.029106523,0.02937486,0.029643197
carFAR_05,0.114,0.028801903,0.502558727,4.337369826,0.424785461,0.144088278,,,,0.114,0.114,0.114,0.114,0.114,0.114,0.028801903,0.029074984,0.029348065,0.029621147,0.029894228,0.030167309
carFAR_05,0.115,0.029306629,0.506894854,4.336126261,0.424785461,0.145331486,,,,0.115,0.115,0.115,0.115,0.115,0.115,0.029306629,0.029584496,0.029862363,0.03014023,0.030418097,0.030695964
carFAR_05,0.116,0.029815692,0.511229737,4.334883053,0.424785461,0.146574338,,,,0.116,0.116,0.116,0.116,0.116,0.116,0.029815692,0.030098385,0.030381079,0.030663772,0.030946465,0.031229159
carFAR_05,0.117,0.030329088,0.515563377,4.333640202,0.424785461,0.147816833,,,,0.117,0.117,0.117,0.117,0.117,0.117,0.030329088,0.030616649,0.030904211,0.031191772,0.031479333,0.031766894
carFAR_05,0.118,0.030846818,0.519895775,4.332397707,0.424785461,0.149058972,,,,0.118,0.118,0.118,0.118,0.118,0.118,0.030846818,0.031139288,0.031431758,0.031724228,0.032016698,0.032309167
carFAR_05,0.119,0.031368879,0.52422693,4.331155568,0.424785461,0.150300754,,,,0.119,0.119,0.119,0.119,0.119,0.119,0.031368879,0.031666299,0.031963719,0.032261139,0.032558558,0.032855978
carFAR_05,0.12,0.031895271,0.528556844,4.329913785,0.424785461,0.151542181,,,,0.12,0.12,0.12,0.12,0.12,0.12,0.031895271,0.032197682,0.032500092,0.032802503,0.033104914,0.033407325
carFAR_05,0.121,0.032425992,0.532885516,4.328672358,0.424785461,0.152783252,,,,0.121,0.121,0.121,0.121,0.121,0.121,0.032425992,0.032733435,0.033040878,0.03334832,0.033655763,0.033963206
carFAR_05,0.122,0.032961042,0.537212948,4.327431288,0.424785461,0.154023967,,,,0.122,0.122,0.122,0.122,0.122,0.122,0.032961042,0.033273557,0.033586073,0.033898588,0.034211104,0.03452362
carFAR_05,0.123,0.033500418,0.541539138,4.326190573,0.424785461,0.155264326,,,,0.123,0.123,0.123,0.123,0.123,0.123,0.033500418,0.033818047,0.034135677,0.034453307,0.034770936,0.035088566
carFAR_05,0.124,0.034044119,0.545864088,4.324950213,0.424785461,0.15650433,,,,0.124,0.124,0.124,0.124,0.124,0.124,0.034044119,0.034366904,0.034689689,0.035012473,0.035335258,0.035658043
carFAR_05,0.125,0.034592145,0.550187799,4.32371021,0.424785461,0.157743978,,,,0.125,0.125,0.125,0.125,0.125,0.125,0.034592145,0.034920126,0.035248107,0.035576087,0.035904068,0.036232049
carFAR_05,0.126,0.035144494,0.554510269,4.322470562,0.424785461,0.15898327,,,,0.126,0.126,0.126,0.126,0.126,0.126,0.035144494,0.035477712,0.03581093,0.036144147,0.036477365,0.036810583
carFAR_05,0.127,0.035701165,0.5588315,4.321231269,0.424785461,0.160222208,,,,0.127,0.127,0.127,0.127,0.127,0.127,0.035701165,0.036039661,0.036378157,0.036716652,0.037055148,0.037393644
carFAR_05,0.128,0.036262157,0.563151493,4.319992332,0.424785461,0.16146079,,,,0.128,0.128,0.128,0.128,0.128,0.128,0.036262157,0.036605971,0.036949786,0.037293601,0.037637415,0.03798123
carFAR_05,0.129,0.036827467,0.567470246,4.31875375,0.424785461,0.162699017,,,,0.129,0.129,0.129,0.129,0.129,0.129,0.036827467,0.037176642,0.037525817,0.037874991,0.038224166,0.038573341
